HOST_NEIGHBOURHOOD_LGA,YEAR_MONTH,NUMBER_OF_DISTINCT_HOSTS,ESTIMATED_REVENUE,ESTIMATED_REVENUE_PER_HOST_DISTINCT
Canterbury-Bankstown,2020-10-01,270,715890,2651.444444
Canterbury-Bankstown,2020-11-01,268,683334,2549.753731
Canterbury-Bankstown,2020-12-01,254,839282,3304.259843
Canterbury-Bankstown,2021-01-01,247,704025,2850.303644
Canterbury-Bankstown,2021-02-01,246,674387,2708.483740
Canterbury-Bankstown,2021-03-01,242,684435,2794.772727
Canterbury-Bankstown,2021-04-01,234,558166,2289.811966
Cumberland,2020-05-01,4,55933,13983.250000
Cumberland,2020-06-01,4,57698,14424.500000
Cumberland,2020-07-01,4,46142,11535.500000
Cumberland,2020-08-01,4,25432,6358.000000
Cumberland,2020-09-01,4,29975,7493.750000
Cumberland,2020-10-01,4,19021,4755.250000
Cumberland,2020-11-01,2,289,144.500000
Cumberland,2020-12-01,2,852,426.000000
Cumberland,2021-01-01,1,3389,3389.000000
Cumberland,2021-02-01,2,259,129.500000
Cumberland,2021-03-01,2,437,218.500000
Cumberland,2021-04-01,2,1095,547.500000
Dungog,2020-05-01,49,168902,3446.979592
Dungog,2020-06-01,47,159089,3384.872340
Dungog,2020-07-01,42,139213,3314.595238
Sydney,2020-11-01,3819,20487535,5364.633412
Sydney,2020-12-01,3718,22430601,6032.974987
Sydney,2021-01-01,3687,21534870,5840.756713
Sydney,2021-02-01,3659,20779583,5668.079530
Sydney,2021-03-01,3622,20856941,5734.864992
Sydney,2021-04-01,3449,20416714,5880.331690
Upper Hunter Shire,2020-05-01,118,642566,5445.474576
Upper Hunter Shire,2020-06-01,117,625562,5346.683761
Upper Hunter Shire,2020-07-01,90,394691,4385.455556
Upper Hunter Shire,2020-08-01,89,403198,4530.314607
Upper Hunter Shire,2020-09-01,109,762403,6994.522936
Upper Hunter Shire,2020-10-01,109,592647,5437.128440
Upper Hunter Shire,2020-11-01,107,598346,5592.018692
Upper Hunter Shire,2020-12-01,104,597305,5743.317308
Upper Hunter Shire,2021-01-01,101,601307,5928.287129
Upper Hunter Shire,2021-02-01,100,588241,5882.410000
Upper Hunter Shire,2021-03-01,99,584637,5905.424242
Upper Hunter Shire,2021-04-01,94,526318,5599.127660
Waverley,2020-05-01,3087,21588704,6993.425332
Waverley,2020-06-01,3057,21610969,7069.338894
Waverley,2020-07-01,2567,17286242,6734.024932
Waverley,2020-08-01,2563,16854968,6576.265314
Ryde,2021-03-01,15,54995,3666.333333
Ryde,2021-04-01,16,51471,3216.937500
Singleton,2020-05-01,72,231295,3212.430556
Singleton,2020-06-01,69,214026,3101.826087
Singleton,2020-07-01,59,257477,4364.016949
Singleton,2020-08-01,62,160159,2583.209677
Singleton,2020-09-01,70,241781,3454.014286
Singleton,2020-10-01,70,196806,2811.514286
Singleton,2020-11-01,70,200340,2862.000000
Singleton,2020-12-01,69,206182,2988.144928
Singleton,2021-01-01,69,231216,3350.956522
Singleton,2021-02-01,69,198647,2878.942029
Singleton,2021-03-01,67,200429,2991.477612
Singleton,2021-04-01,65,184781,2842.784615
Strathfield,2020-05-01,58,272855,4704.396552
Strathfield,2020-06-01,57,152957,2683.456140
Strathfield,2020-07-01,53,189425,3574.056604
Strathfield,2020-08-01,51,109981,2156.490196
Strathfield,2020-09-01,55,158259,2877.436364
Strathfield,2020-10-01,51,136836,2683.058824
Strathfield,2020-11-01,48,92979,1937.062500
Strathfield,2020-12-01,48,105628,2200.583333
Waverley,2020-09-01,2897,21045381,7264.542975
Waverley,2020-10-01,2867,18329272,6393.188699
Waverley,2020-11-01,2839,18218614,6417.264530
Waverley,2020-12-01,2764,19403279,7016.645803
Waverley,2021-01-01,2731,18848840,6901.808861
Waverley,2021-02-01,2714,17868945,6582.330508
Waverley,2021-03-01,2674,17546414,6560.177263
Waverley,2021-04-01,2553,16652936,6495.239326
Willoughby,2020-05-01,222,1526417,6875.752252
Willoughby,2020-06-01,216,1121889,5193.930556
Willoughby,2020-07-01,184,891972,4847.673913
Willoughby,2020-08-01,189,871320,4610.158730
Willoughby,2020-09-01,202,1163075,5757.797030
Willoughby,2020-10-01,201,1093410,5439.850746
Willoughby,2020-11-01,198,1027345,5188.611111
Willoughby,2020-12-01,193,1139303,5903.124352
Willoughby,2021-01-01,190,1006393,5296.805263
Willoughby,2021-02-01,191,931711,4878.068063
Willoughby,2021-03-01,191,941159,4927.534031
Willoughby,2021-04-01,178,893462,5019.449438
Woollahra,2020-05-01,584,4074040,6976.095890
Woollahra,2020-06-01,580,4215466,7268.044828
Randwick,2020-06-01,1789,10038471,5611.219117
Randwick,2020-07-01,1505,8285749,5505.481063
Randwick,2020-08-01,1495,8013638,5360.292977
Randwick,2020-09-01,1695,10725581,6327.776401
Randwick,2020-10-01,1669,9376012,5617.742361
Randwick,2020-11-01,1637,9123818,5573.499084
Randwick,2020-12-01,1592,9761299,6131.469221
Randwick,2021-01-01,1576,9437690,5988.381980
Randwick,2021-02-01,1573,9136565,5799.977750
Randwick,2021-03-01,1558,9026718,5782.039795
Randwick,2021-04-01,1507,8704066,5744.901128
Ryde,2020-05-01,17,46868,2756.941176
Ryde,2020-06-01,18,51295,2849.722222
Ryde,2020-07-01,17,41573,2445.470588
Ryde,2020-08-01,17,41513,2441.941176
Ryde,2020-09-01,17,44481,2616.529412
Ryde,2020-10-01,17,46531,2737.117647
Ryde,2020-11-01,17,41796,2458.588235
Ryde,2020-12-01,17,59974,3527.882353
Ryde,2021-01-01,15,55726,3715.066667
Ryde,2021-02-01,15,45753,3050.200000
Hawkesbury,2020-06-01,5,10440,2088.000000
Hawkesbury,2020-07-01,6,11170,1861.666667
Hawkesbury,2020-08-01,4,10211,2552.750000
Hawkesbury,2020-09-01,4,10440,2610.000000
Hawkesbury,2020-10-01,4,10440,2610.000000
Hawkesbury,2020-11-01,4,12295,3073.750000
Hawkesbury,2020-12-01,4,8505,2126.250000
Hawkesbury,2021-01-01,4,4545,1136.250000
Hawkesbury,2021-02-01,4,12420,3105.000000
Hawkesbury,2021-03-01,4,12420,3105.000000
Hawkesbury,2021-04-01,3,6151,2050.333333
Hunters Hill,2020-05-01,65,326470,5022.615385
Hunters Hill,2020-06-01,66,328984,4984.606061
Hunters Hill,2020-07-01,54,263235,4874.722222
Hunters Hill,2020-08-01,55,243392,4425.309091
Hunters Hill,2020-09-01,61,358731,5880.836066
Hunters Hill,2020-10-01,60,292157,4869.283333
Hunters Hill,2020-11-01,59,241896,4099.932203
Hunters Hill,2020-12-01,57,289604,5080.771930
Hunters Hill,2021-01-01,57,310958,5455.403509
Hunters Hill,2021-02-01,53,247838,4676.188679
Northern Beaches,2020-08-01,1173,12683085,10812.519182
Northern Beaches,2020-09-01,1269,16436133,12952.035461
Northern Beaches,2020-10-01,1231,16053874,13041.327376
Northern Beaches,2020-11-01,1201,15882634,13224.507910
Northern Beaches,2020-12-01,1172,18832622,16068.790102
Northern Beaches,2021-01-01,1160,16816270,14496.784483
Northern Beaches,2021-02-01,1149,15506410,13495.570061
Northern Beaches,2021-03-01,1132,15426753,13627.873675
Northern Beaches,2021-04-01,1089,14831887,13600.998163
Parramatta,2020-05-01,63,121870,1934.444444
Parramatta,2020-06-01,61,121670,1994.590164
Parramatta,2020-07-01,49,98393,2008.020408
Parramatta,2020-08-01,49,68916,1406.448980
Parramatta,2020-09-01,57,110088,1931.368421
Parramatta,2020-10-01,56,105442,1882.892857
Parramatta,2020-11-01,54,98571,1825.388889
Parramatta,2020-12-01,53,115967,2188.056604
Parramatta,2021-01-01,51,110188,2160.549020
Parramatta,2021-02-01,51,108007,2117.784314
Parramatta,2021-03-01,50,106579,2131.580000
Parramatta,2021-04-01,46,100811,2164.152174
Randwick,2020-05-01,1794,10122761,5642.564660
Armidale Regional,2020-05-01,1,1800,1800.000000
Armidale Regional,2020-06-01,1,1800,1800.000000
Armidale Regional,2020-07-01,1,1800,1800.000000
Armidale Regional,2020-08-01,1,1800,1800.000000
Armidale Regional,2020-09-01,1,1800,1800.000000
Armidale Regional,2020-10-01,2,3480,1740.000000
Armidale Regional,2020-11-01,2,2920,1460.000000
Armidale Regional,2020-12-01,2,7596,3798.000000
Armidale Regional,2021-01-01,2,4100,2050.000000
Armidale Regional,2021-02-01,2,1940,970.000000
Armidale Regional,2021-03-01,2,4800,2400.000000
Armidale Regional,2021-04-01,2,4800,2400.000000
Bathurst Regional,2020-05-01,9,128147,14238.555556
Bathurst Regional,2020-06-01,9,169296,18810.666667
Bathurst Regional,2020-07-01,8,153296,19162.000000
Bathurst Regional,2020-08-01,8,136597,17074.625000
Bathurst Regional,2020-09-01,8,170983,21372.875000
Bathurst Regional,2020-10-01,9,187239,20804.333333
Bathurst Regional,2020-11-01,8,119825,14978.125000
Bathurst Regional,2020-12-01,8,160217,20027.125000
Bathurst Regional,2021-01-01,8,114251,14281.375000
Mosman,2020-10-01,238,2165258,9097.722689
Mosman,2020-11-01,232,1982406,8544.853448
Mosman,2020-12-01,225,2100344,9334.862222
Mosman,2021-01-01,225,1953881,8683.915556
Mosman,2021-02-01,224,1870550,8350.669643
Mosman,2021-03-01,220,1945904,8827.290909
Mosman,2021-04-01,210,1924530,9092.285714
North Sydney,2020-05-01,721,3501662,4856.674064
North Sydney,2020-06-01,704,3561426,5058.843750
North Sydney,2020-07-01,580,2750131,4741.605172
North Sydney,2020-08-01,581,2799829,4818.982788
North Sydney,2020-09-01,658,4094000,6221.884498
North Sydney,2020-10-01,638,3482165,5457.938871
North Sydney,2020-11-01,606,2801139,4622.341584
North Sydney,2020-12-01,599,3158144,5272.360601
North Sydney,2021-01-01,591,2962740,5013.096447
North Sydney,2021-02-01,588,2731471,4642.654762
North Sydney,2021-03-01,581,2804451,4824.201377
North Sydney,2021-04-01,555,2762940,4968.378378
Northern Beaches,2020-05-01,1339,13892447,10375.240478
Northern Beaches,2020-06-01,1326,14191407,10702.418552
Northern Beaches,2020-07-01,1160,12218924,10533.555172
Bathurst Regional,2021-02-01,8,81189,10148.625000
Bathurst Regional,2021-03-01,8,143119,17889.875000
Bathurst Regional,2021-04-01,7,70325,10046.428571
Bayside,2020-05-01,880,3599732,4090.604545
Bayside,2020-06-01,865,3513849,4062.253179
Bayside,2020-07-01,744,2706773,3638.135753
Bayside,2020-08-01,742,2437445,3284.966307
Bayside,2020-09-01,819,3164606,3863.987790
Bayside,2020-10-01,804,2812410,3498.022388
Bayside,2020-11-01,792,2753950,3477.209596
Bayside,2020-12-01,774,3065325,3960.368217
Bayside,2021-01-01,765,2907046,3800.060131
Bayside,2021-02-01,758,2718915,3582.209763
Bayside,2021-03-01,750,2830445,3769.126667
Bayside,2021-04-01,706,2560512,3602.226629
Burwood,2020-05-01,169,504678,2986.260355
Burwood,2020-06-01,165,468011,2836.430303
Burwood,2020-07-01,146,338267,2316.897260
Burwood,2020-08-01,143,332736,2326.825175
Burwood,2020-09-01,154,486535,3159.318182
Burwood,2020-10-01,154,451081,2929.097403
Burwood,2020-11-01,152,411488,2707.157895
Burwood,2020-12-01,148,489755,3309.155405
Burwood,2021-01-01,148,466013,3148.736486
Burwood,2021-02-01,147,372303,2532.673469
Burwood,2021-03-01,146,394144,2699.616438
Burwood,2021-04-01,135,374646,2761.822222
Canada Bay,2020-05-01,204,1088715,5336.838235
Canada Bay,2020-06-01,201,918084,4567.582090
Canada Bay,2020-07-01,168,713820,4248.928571
Canada Bay,2020-08-01,164,649080,3957.804878
Canada Bay,2020-09-01,186,844582,4540.763441
Canada Bay,2020-10-01,184,856526,4655.032609
Canada Bay,2020-11-01,169,787368,4658.982249
Canada Bay,2020-12-01,166,715475,4310.090361
Canada Bay,2021-01-01,165,709691,4301.157576
Canada Bay,2021-02-01,165,708379,4269.569697
Canada Bay,2021-03-01,163,750087,4578.018405
Canada Bay,2021-04-01,156,726510,4603.076923
Canterbury-Bankstown,2020-05-01,280,722493,2580.332143
Canterbury-Bankstown,2020-06-01,278,736569,2649.528777
Canterbury-Bankstown,2020-07-01,250,673880,2695.520000
Canterbury-Bankstown,2020-08-01,245,519624,2120.914286
Canterbury-Bankstown,2020-09-01,269,726639,2701.260223
Lake Macquarie,2021-01-01,1,2430,2430.000000
Lake Macquarie,2021-02-01,1,2430,2430.000000
Lake Macquarie,2021-03-01,1,3270,3270.000000
Lake Macquarie,2021-04-01,1,2550,2550.000000
Lane Cove,2020-05-01,221,1107142,5009.692308
Lane Cove,2020-06-01,221,1579268,7146.009050
Lane Cove,2020-07-01,185,1349134,7292.616216
Lane Cove,2020-08-01,183,988086,5399.377049
Lane Cove,2020-09-01,204,1316770,6454.754902
Lane Cove,2020-10-01,198,1229516,6209.676768
Lane Cove,2020-11-01,194,1221568,6296.742268
Lane Cove,2020-12-01,184,1381375,7507.472826
Lane Cove,2021-01-01,184,1311195,7126.059783
Lane Cove,2021-02-01,181,1284022,7094.044199
Lane Cove,2021-03-01,178,1308563,7351.477528
Lane Cove,2021-04-01,167,1357519,7949.215569
Mid-Western Regional,2020-06-01,1,228,228.000000
Mosman,2020-05-01,265,2140760,8078.339623
Mosman,2020-06-01,263,2158267,8206.338403
Mosman,2020-07-01,216,1706669,7901.245370
Mosman,2020-08-01,218,1697849,7788.298165
Mosman,2020-09-01,244,2311989,9475.364754
Strathfield,2021-01-01,48,159267,3318.062500
Strathfield,2021-02-01,46,102234,2222.478261
Strathfield,2021-03-01,46,107060,2327.391304
Strathfield,2021-04-01,43,103999,2418.581395
Sutherland Shire,2020-05-01,121,545947,4511.958678
Sutherland Shire,2020-06-01,116,534603,4608.646552
Sutherland Shire,2020-07-01,106,477079,4500.745283
Sutherland Shire,2020-08-01,108,458059,4241.287037
Sutherland Shire,2020-09-01,115,590723,5136.721739
Sutherland Shire,2020-10-01,109,522821,4796.522936
Sutherland Shire,2020-11-01,105,494596,4710.438095
Sutherland Shire,2020-12-01,104,613469,5898.740385
Sutherland Shire,2021-01-01,106,539946,5093.830189
Sutherland Shire,2021-02-01,105,523938,4989.885714
Sutherland Shire,2021-03-01,102,501531,4916.970588
Sutherland Shire,2021-04-01,98,499052,5067.877551
Sydney,2020-05-01,4308,22312930,5179.417363
Sydney,2020-06-01,4255,22734179,5342.932785
Sydney,2020-07-01,3575,19107384,5344.722797
Sydney,2020-08-01,3491,16808195,4814.722143
Sydney,2020-09-01,3916,23125717,5905.443565
Sydney,2020-10-01,3869,20931040,5409.935384
Dungog,2020-08-01,41,131145,3198.658537
Dungog,2020-09-01,43,142155,3305.930233
Dungog,2020-10-01,43,155388,3613.674419
Dungog,2020-11-01,43,146718,3412.046512
Dungog,2020-12-01,41,147764,3604.000000
Dungog,2021-01-01,40,164920,4123.000000
Dungog,2021-02-01,40,132941,3323.525000
Dungog,2021-03-01,40,134818,3370.450000
Dungog,2021-04-01,40,137455,3436.375000
Georges River,2020-05-01,132,482747,3657.174242
Georges River,2020-06-01,126,540848,4292.444444
Georges River,2020-07-01,115,473757,4119.626087
Georges River,2020-08-01,111,377878,3404.306306
Georges River,2020-09-01,118,497745,4218.177966
Georges River,2020-10-01,117,485974,4153.623932
Georges River,2020-11-01,116,411695,3549.094828
Georges River,2020-12-01,112,495793,4426.723214
Georges River,2021-01-01,109,416222,3818.550459
Georges River,2021-02-01,108,406330,3762.314815
Georges River,2021-03-01,108,390224,3613.185185
Georges River,2021-04-01,101,343952,3349.623762
Hawkesbury,2020-05-01,5,10470,2094.000000
Woollahra,2020-07-01,507,3508540,6920.197239
Woollahra,2020-08-01,509,3821615,7508.084479
Woollahra,2020-09-01,562,6922569,12317.738434
Woollahra,2020-10-01,552,6635134,12020.170290
Woollahra,2020-11-01,542,6287467,11600.492620
Woollahra,2020-12-01,516,7129147,13816.176357
Woollahra,2021-01-01,512,6639723,12968.208984
Woollahra,2021-02-01,508,6159737,12115.250000
Woollahra,2021-03-01,500,5982878,11962.876000
Woollahra,2021-04-01,466,5603737,11933.577253
unknown,2020-05-01,10743,45550196,4239.988458
unknown,2020-06-01,10628,45340688,4266.154309
unknown,2020-07-01,9217,39999458,4339.748074
unknown,2020-08-01,9493,36994656,3897.045823
unknown,2020-09-01,10449,51013032,4882.097043
unknown,2020-10-01,10332,47262417,4574.372532
unknown,2020-11-01,10365,47218688,4555.589773
unknown,2020-12-01,10804,56527866,5231.280452
unknown,2021-01-01,10722,53522894,4991.520612
unknown,2021-02-01,10700,51236883,4779.987196
unknown,2021-03-01,10652,51365930,4813.348667
unknown,2021-04-01,10243,54580291,5282.559895
Hunters Hill,2021-03-01,51,252299,4947.039216
Hunters Hill,2021-04-01,49,221055,4511.326531
Inner West,2020-05-01,1674,7839839,4683.296894
Inner West,2020-06-01,1642,7653142,4660.866017
Inner West,2020-07-01,1401,6505611,4643.548180
Inner West,2020-08-01,1395,5804609,4161.010036
Inner West,2020-09-01,1562,7877664,5043.318822
Inner West,2020-10-01,1533,6875355,4484.902153
Inner West,2020-11-01,1506,6659342,4421.873838
Inner West,2020-12-01,1477,7050762,4773.704807
Inner West,2021-01-01,1458,6574226,4507.733882
Inner West,2021-02-01,1441,6244993,4333.791117
Inner West,2021-03-01,1421,6194962,4359.579170
Inner West,2021-04-01,1369,6134499,4463.563915
Lake Macquarie,2020-05-01,1,3261,3261.000000
Lake Macquarie,2020-06-01,1,3260,3260.000000
Lake Macquarie,2020-07-01,1,3291,3291.000000
Lake Macquarie,2020-08-01,1,2430,2430.000000
Lake Macquarie,2020-09-01,1,2430,2430.000000
Lake Macquarie,2020-10-01,1,2430,2430.000000
Lake Macquarie,2020-11-01,1,2430,2430.000000
Lake Macquarie,2020-12-01,1,3150,3150.000000
