LISTING_NEIGHBOURHOOD,YEAR_MONTH,ACTIVE_LISTINGS_RATE,MIN_PRICE_ACT,MAX_PRICE_ACT,MEDIAN_PRICE_ACT,NUMBER_OF_DISTINCT_HOSTS,SUPER_HOST_RATE,AVG_REV_SCORE_ACT,PERCENTAGE_CHANGE_FOR_ACTIVE_LISTINGS,PERCENTAGE_CHANGE_FOR_INACTIVE_LISTINGS,TOTAL_NUMBER_OF_STAYS,AVERAGE_ESTIMATED_REVENUE_PER_ACTIVE_LISTINGS
Bayside,2020-05-01,100.000000,0,1000,86,1217,11.503700,92.035577,,,30715,2238.321608
Bayside,2020-06-01,100.000000,0,1999,84,1198,11.268800,92.093596,-1.758800,,30188,2240.600384
Bayside,2020-07-01,100.000000,0,1991,85,1040,13.269200,91.864929,-14.130400,,26077,2331.061057
Bayside,2020-08-01,100.000000,17,1500,79,1050,12.952400,92.009153,2.680600,,24915,1854.955765
Bayside,2020-09-01,100.000000,17,1286,78,1156,12.110700,92.105839,25.308200,,33197,1932.743056
Bayside,2020-10-01,100.000000,17,1250,78,1139,11.589100,92.087185,-12.500000,,30251,2047.240741
Bayside,2020-11-01,100.000000,14,1250,78,1114,11.579900,92.329361,-2.381000,,27908,2026.305556
Bayside,2020-12-01,100.000000,15,1250,80,1126,11.367700,92.124726,1.016300,,31796,2431.771965
Bayside,2021-01-01,100.000000,15,1250,80,1125,10.755600,92.107301,0.067100,,30908,2279.930295
Bayside,2021-02-01,99.729400,15,1827,80,1109,10.730400,92.029900,-1.206400,,28681,2252.156716
Bayside,2021-03-01,99.722800,15,1250,80,1103,10.426100,92.067720,-2.374500,0.000000,29081,2216.072272
Bayside,2021-04-01,99.230800,15,1250,80,1056,10.037900,92.248853,-1.389900,175.000000,28797,2259.737844
Blacktown,2020-05-01,100.000000,23,1099,63,239,12.970700,89.920398,,,3628,1037.927673
Blacktown,2020-06-01,100.000000,23,1099,63,234,13.675200,90.455026,-3.459100,,3816,1109.097720
Blacktown,2020-07-01,100.000000,23,1099,65.5,211,14.691900,90.345679,-13.029300,,3881,1307.692884
Blacktown,2020-08-01,100.000000,20,1000,60,214,13.551400,89.976471,4.868900,,3281,973.300000
Blacktown,2020-09-01,100.000000,20,1200,60,219,13.698600,91.130208,13.571400,,4074,1117.515723
Blacktown,2020-10-01,100.000000,18,1287,64,215,11.627900,91.224852,-11.949700,,4068,1465.117857
Blacktown,2020-11-01,100.000000,18,901,60.5,220,11.363600,91.059172,1.428600,,3393,1119.010563
Blacktown,2020-12-01,99.647900,22,901,61.5,216,11.574100,91.000000,-0.352100,,4393,1470.204947
Blacktown,2021-01-01,100.000000,22,901,61,211,10.426500,90.596591,-0.353400,-100.000000,4037,1295.244681
Blacktown,2021-02-01,99.636400,22,901,62.5,215,10.232600,90.856287,-2.836900,,3299,1086.328467
Blacktown,2021-03-01,98.161800,22,901,65,215,10.697700,91.843750,-2.554700,400.000000,3457,1236.947566
Blacktown,2021-04-01,95.985400,22,901,66,206,10.194200,92.019608,-1.498100,120.000000,3540,1327.680608
Burwood,2020-05-01,100.000000,15,399,70,168,11.309500,89.257143,,,4556,1510.901515
Burwood,2020-06-01,100.000000,14,400,69,164,10.975600,89.267442,-2.272700,,4148,1388.143411
Burwood,2020-07-01,100.000000,14,650,70,147,12.244900,88.939189,-11.627900,,3768,1395.706140
Burwood,2020-08-01,100.000000,15,530,65.5,152,10.526300,89.595238,7.456100,,3757,1272.820408
Burwood,2020-09-01,100.000000,15,530,68.5,158,10.126600,90.206731,20.000000,,4815,1345.591837
Burwood,2020-10-01,100.000000,15,530,66,163,9.202500,89.157609,-9.863900,,4367,1350.094340
Burwood,2020-11-01,100.000000,15,530,69.5,153,9.803900,89.736196,-4.150900,,3888,1248.625984
Burwood,2020-12-01,100.000000,16,530,70,151,9.933800,89.959064,-0.787400,,4599,1635.718254
Burwood,2021-01-01,100.000000,16,530,70,149,10.067100,89.971591,-0.396800,,4641,1636.167331
Burwood,2021-02-01,100.000000,16,530,70,145,9.655200,90.440476,-8.366500,,3999,1451.769565
Burwood,2021-03-01,100.000000,16,530,70,143,10.489500,90.703030,-3.913000,,4248,1693.434389
Burwood,2021-04-01,100.000000,16,530,72.5,148,11.486500,90.197605,3.167400,,4036,1651.605263
Camden,2020-05-01,100.000000,35,350,87.5,41,24.390200,94.366667,,,606,1183.734694
Camden,2020-06-01,100.000000,32,350,87.5,41,24.390200,94.823529,2.040800,,657,1462.100000
Camden,2020-07-01,100.000000,31,400,88,39,33.333300,94.900000,-12.000000,,763,1852.750000
Camden,2020-08-01,100.000000,35,400,97,41,31.707300,95.151515,6.818200,,695,1616.531915
Camden,2020-09-01,100.000000,35,400,92,42,33.333300,95.243243,8.510600,,812,1769.431373
Camden,2020-10-01,100.000000,35,425,100,43,32.558100,95.117647,3.921600,,814,1754.000000
Camden,2020-11-01,100.000000,35,425,100,42,30.952400,94.882353,0.000000,,841,1801.018868
Camden,2020-12-01,100.000000,35,472,100,43,30.232600,95.028571,0.000000,,930,2250.075472
Camden,2021-01-01,100.000000,35,448,102.5,43,34.883700,94.406250,0.000000,,855,1837.056604
Camden,2021-02-01,100.000000,35,427,100,42,35.714300,94.393939,-1.886800,,744,1734.557692
Camden,2021-03-01,100.000000,35,425,102.5,41,36.585400,94.393939,-1.923100,,838,1971.019608
Camden,2021-04-01,100.000000,35,425,94,38,34.210500,94.967742,-1.960800,,922,1968.800000
Campbelltown,2020-05-01,100.000000,20,999,75,75,26.666700,91.933333,,,1850,1302.677966
Campbelltown,2020-06-01,100.000000,20,999,77.5,75,25.333300,92.288889,0.000000,,1878,1670.516949
Campbelltown,2020-07-01,100.000000,20,999,79,68,27.941200,92.480519,-13.559300,,1661,1529.029412
Campbelltown,2020-08-01,100.000000,25,513,80.5,68,27.941200,92.506849,-8.823500,,1143,945.225806
Campbelltown,2020-09-01,100.000000,25,510,74.5,71,26.760600,92.320988,13.978500,,1597,1218.433962
Campbelltown,2020-10-01,100.000000,25,659,74,67,26.865700,90.779221,-9.434000,,1683,1733.156250
Campbelltown,2020-11-01,100.000000,25,660,78.5,68,26.470600,90.428571,3.125000,,1599,1426.050505
Campbelltown,2020-12-01,100.000000,24,668,83,68,23.529400,89.578947,1.010100,,1807,2049.330000
Campbelltown,2021-01-01,100.000000,21,1795,83,68,25.000000,89.840000,2.000000,,1977,3326.127451
Campbelltown,2021-02-01,99.038500,20,643,83,72,26.388900,90.298701,0.980400,,1720,1965.796117
Campbelltown,2021-03-01,99.038500,22,643,80,70,27.142900,90.556962,0.000000,0.000000,2037,2029.786408
Campbelltown,2021-04-01,99.056600,25,760,83,71,23.943700,90.716049,1.941700,0.000000,1930,2345.285714
Canada Bay,2020-05-01,100.000000,24,1101,110,383,9.921700,92.904762,,,8901,2732.733766
Canada Bay,2020-06-01,100.000000,24,1100,106.5,371,9.703500,92.555160,-4.329000,,8866,2899.712670
Canada Bay,2020-07-01,100.000000,24,1100,110,308,10.064900,92.995690,-18.325800,,7252,2877.664820
Canada Bay,2020-08-01,100.000000,25,1450,103.5,310,10.967700,94.000000,-1.108000,,7167,2866.254902
Canada Bay,2020-09-01,100.000000,25,1450,100,345,9.565200,93.736842,29.131700,,9621,2860.353579
Canada Bay,2020-10-01,100.000000,25,1100,100,343,9.037900,93.987854,-14.099800,,8666,3097.512626
Canada Bay,2020-11-01,100.000000,21,1100,100,322,8.695700,93.703390,-6.060600,,7758,2887.440860
Canada Bay,2020-12-01,100.000000,21,1100,103,322,9.006200,93.136170,2.150500,,8527,3177.392105
Canada Bay,2021-01-01,100.000000,21,1100,100,326,8.589000,93.438298,0.789500,,8360,3106.039164
Canada Bay,2021-02-01,99.738200,21,1100,100,321,8.722700,92.829167,-0.522200,,7965,2965.257218
Canada Bay,2021-03-01,99.736800,21,1100,100,320,8.437500,92.622881,-0.524900,0.000000,8336,3195.606860
Canada Bay,2021-04-01,99.465200,25,1100,107,304,7.565800,93.695652,-1.847000,100.000000,7765,3072.147849
Canterbury-Bankstown,2020-05-01,100.000000,12,1000,71,502,10.159400,90.634615,,,9625,1336.185693
Canterbury-Bankstown,2020-06-01,100.000000,13,999,70,494,10.121500,90.764706,-1.065400,,9995,1437.427692
Canterbury-Bankstown,2020-07-01,100.000000,13,999,75,448,11.383900,90.966480,-11.692300,,8934,1445.858885
Canterbury-Bankstown,2020-08-01,100.000000,13,850,70,429,10.722600,90.597059,-2.961700,,7862,1225.362657
Canterbury-Bankstown,2020-09-01,100.000000,13,650,70,475,11.578900,90.647059,20.107700,,10583,1375.938714
Canterbury-Bankstown,2020-10-01,100.000000,13,650,70,474,11.603400,90.576720,-8.520200,,10499,1519.024510
Canterbury-Bankstown,2020-11-01,100.000000,13,900,70,465,11.828000,91.065395,-3.431400,,9154,1391.353638
Canterbury-Bankstown,2020-12-01,100.000000,13,900,70,457,11.159700,91.054645,1.015200,,11261,1839.879397
Canterbury-Bankstown,2021-01-01,100.000000,13,893,70,452,10.177000,91.094444,-0.502500,,10277,1658.828283
Canterbury-Bankstown,2021-02-01,99.494900,13,1000,70,453,9.933800,91.111732,-0.505100,,9481,1494.576988
Canterbury-Bankstown,2021-03-01,99.488100,13,1000,70,449,10.245000,91.025352,-1.353600,0.000000,9753,1593.677530
Canterbury-Bankstown,2021-04-01,98.960100,13,851,70,431,10.440800,91.334320,-2.058300,100.000000,9206,1501.805604
Cumberland,2020-05-01,100.000000,15,1000,100,407,15.970500,92.066975,,,10672,2320.927461
Cumberland,2020-06-01,100.000000,14,999,100,395,15.443000,91.445844,-6.217600,,10033,2307.521179
Cumberland,2020-07-01,100.000000,14,999,90,315,15.873000,91.576159,-22.651900,,7919,2058.621429
Cumberland,2020-08-01,100.000000,15,1175,85,315,16.507900,91.178808,0.476200,,7650,1837.462085
Cumberland,2020-09-01,100.000000,15,1175,87,356,16.292100,91.323155,29.620900,,10880,2071.996344
Cumberland,2020-10-01,100.000000,15,1175,85,351,14.529900,91.364742,-14.990900,,9308,2099.449462
Cumberland,2020-11-01,100.000000,15,1175,85,355,14.929600,91.936306,0.215100,,8693,1907.109442
Cumberland,2020-12-01,100.000000,15,1175,92.5,356,13.483100,90.213166,0.000000,,9753,2302.984979
Cumberland,2021-01-01,100.000000,15,1547,95,354,13.276800,90.702532,-1.073000,,9133,2251.485900
Cumberland,2021-02-01,99.787200,15,1553,98,356,13.483100,90.541796,1.735400,,8818,2070.701493
Cumberland,2021-03-01,99.791200,15,1544,94.5,355,12.676100,90.662577,1.919000,0.000000,9979,2369.384937
Cumberland,2021-04-01,99.093000,15,1575,100,317,11.356500,91.456667,-8.577400,300.000000,8652,2282.556064
Fairfield,2020-05-01,100.000000,20,501,76,56,8.928600,89.633803,,,1162,1127.552083
Fairfield,2020-06-01,100.000000,20,501,76,57,8.771900,89.424658,2.083300,,1355,1219.938776
Fairfield,2020-07-01,100.000000,24,840,70,51,15.686300,89.343284,-10.204100,,1254,1163.136364
Fairfield,2020-08-01,100.000000,20,840,78,53,13.207500,89.283582,1.136400,,1176,903.483146
Fairfield,2020-09-01,100.000000,20,840,82,54,12.963000,89.864865,13.483100,,1411,1000.207921
Fairfield,2020-10-01,100.000000,20,840,75.5,49,10.204100,90.245902,-15.841600,,1349,1239.847059
Fairfield,2020-11-01,100.000000,20,840,69.5,52,11.538500,92.415094,-3.529400,,1224,1146.743902
Fairfield,2020-12-01,100.000000,20,1429,75.5,56,10.714300,92.203704,3.658500,,1433,1778.164706
Fairfield,2021-01-01,100.000000,15,840,78,54,11.111100,92.345455,-2.352900,,1589,1874.421687
Fairfield,2021-02-01,98.837200,20,840,75.5,56,12.500000,92.482143,2.409600,,1284,1264.094118
Fairfield,2021-03-01,98.863600,17,840,75.5,57,12.280700,92.864407,2.352900,0.000000,1444,1521.160920
Fairfield,2021-04-01,98.924700,20,840,77.5,59,11.864400,92.262295,5.747100,0.000000,1357,1355.586957
Georges River,2020-05-01,100.000000,0,1500,80,312,10.897400,92.166038,,,7353,1959.920482
Georges River,2020-06-01,100.000000,0,1500,80,305,10.491800,92.503846,-0.481900,,7389,2114.731235
Georges River,2020-07-01,100.000000,0,1500,80,275,13.818200,92.829060,-11.380100,,6553,2046.139344
Georges River,2020-08-01,100.000000,25,997,75,272,14.338200,92.738739,-2.732200,,6207,1689.803371
Georges River,2020-09-01,100.000000,21,1250,70,298,12.416100,92.745583,31.179800,,9119,1890.794433
Georges River,2020-10-01,100.000000,21,1302,70.5,295,9.491500,92.953125,-11.134900,,8299,2142.419277
Georges River,2020-11-01,100.000000,21,1564,70.5,302,10.596000,92.408397,0.963900,,7794,1984.066826
Georges River,2020-12-01,100.000000,21,1850,73,294,9.863900,92.342742,-4.773300,,8462,2333.997494
Georges River,2021-01-01,100.000000,21,1807,70,291,8.591100,91.516000,-0.501300,,8192,2137.277078
Georges River,2021-02-01,99.746200,21,1750,70,289,8.650500,91.514170,-1.007600,,7445,1881.498728
Georges River,2021-03-01,99.743600,21,1750,70,291,8.247400,92.145228,-1.017800,0.000000,7651,1948.064267
Georges River,2021-04-01,98.143200,21,1750,70,277,9.386300,92.299107,-4.884300,600.000000,6967,1885.067568
Hornsby,2020-05-01,100.000000,20,1191,91,336,23.214300,93.453521,,,7551,1883.354212
Hornsby,2020-06-01,100.000000,20,1999,87.5,324,23.456800,93.577904,-1.727900,,7987,2325.217582
Hornsby,2020-07-01,100.000000,20,1191,89,297,27.272700,93.229102,-9.011000,,7137,2345.801932
Hornsby,2020-08-01,100.000000,20,1200,85,294,27.891200,93.417197,-1.932400,,6666,2316.655172
Hornsby,2020-09-01,100.000000,20,1466,85,315,26.349200,93.631436,18.226600,,8877,2785.827083
Hornsby,2020-10-01,100.000000,20,1466,89,309,27.184500,93.600000,-11.250000,,8140,2810.835681
Hornsby,2020-11-01,100.000000,20,1466,89,305,27.868900,93.639241,-2.816900,,7159,2774.289855
Hornsby,2020-12-01,99.770600,20,1466,94.5,322,26.708100,93.912121,5.072500,,8745,3571.333333
Hornsby,2021-01-01,100.000000,20,1466,94,321,28.348900,93.878505,-1.149400,-100.000000,8368,3242.020930
Hornsby,2021-02-01,99.529400,20,1466,95,319,28.213200,93.909657,-1.627900,,7269,2818.971631
Hornsby,2021-03-01,99.523800,20,1466,90,316,28.164600,93.328125,-1.182000,0.000000,7499,2907.047847
Hornsby,2021-04-01,98.581600,20,1466,95,312,25.961500,93.619048,-0.239200,200.000000,7196,2789.393285
Hunters Hill,2020-05-01,100.000000,35,1500,183,53,7.547200,95.142857,,,1062,5909.301887
Hunters Hill,2020-06-01,100.000000,35,1500,167,54,7.407400,95.083333,1.886800,,1060,5644.148148
Hunters Hill,2020-07-01,100.000000,36,1499,152,45,8.888900,95.718750,-16.666700,,858,5369.955556
Hunters Hill,2020-08-01,100.000000,30,1100,170,45,8.888900,95.242424,0.000000,,887,5180.444444
Hunters Hill,2020-09-01,100.000000,30,1100,195,50,8.000000,95.277778,26.666700,,1169,5734.912281
Hunters Hill,2020-10-01,100.000000,30,1100,195,51,5.882400,95.454545,-10.526300,,1044,5783.392157
Hunters Hill,2020-11-01,100.000000,30,1000,167.5,50,8.000000,95.382353,-1.960800,,946,4390.520000
Hunters Hill,2020-12-01,100.000000,30,1000,177,50,10.000000,95.161290,2.000000,,1169,6019.137255
Hunters Hill,2021-01-01,100.000000,30,1200,195,50,8.000000,95.281250,1.960800,,1168,6406.615385
Hunters Hill,2021-02-01,100.000000,30,1500,172.5,49,8.163300,94.625000,-1.923100,,1028,6134.196078
Hunters Hill,2021-03-01,100.000000,30,1500,195,49,8.163300,94.612903,0.000000,,1012,5607.980392
Hunters Hill,2021-04-01,100.000000,30,1500,160.5,50,8.000000,94.882353,5.882400,,986,5346.425926
Inner West,2020-05-01,100.000000,15,1600,102.4,2004,13.772500,93.500856,,,53801,3291.168325
Inner West,2020-06-01,100.000000,14,1999,100,1966,13.224800,93.474841,-1.202300,,53316,3323.417541
Inner West,2020-07-01,100.000000,14,1984,101,1670,15.089800,93.519353,-17.247200,,43747,3400.278905
Inner West,2020-08-01,100.000000,17,1796,99,1694,14.758000,93.500339,3.600400,,43897,3033.792462
Inner West,2020-09-01,100.000000,17,1930,100,1895,13.773100,93.485437,27.753300,,59028,3209.785824
Inner West,2020-10-01,100.000000,16,1500,100,1871,12.773900,93.582918,-13.639800,,52321,3388.983141
Inner West,2020-11-01,100.000000,17,1500,100,1868,12.259100,93.540455,-0.044400,,50802,3246.680426
Inner West,2020-12-01,100.000000,17,1930,100,1858,12.378900,93.565526,-1.287200,,53846,3515.218076
Inner West,2021-01-01,99.954500,17,1843,100,1831,11.687600,93.527308,-1.124100,,52987,3480.579354
Inner West,2021-02-01,100.000000,17,1843,100,1821,11.642000,93.492105,-0.955000,-100.000000,50852,3325.686869
Inner West,2021-03-01,100.000000,17,1950,100,1794,11.594200,93.474667,-1.193800,,51299,3393.973513
Inner West,2021-04-01,99.480400,17,1950,100,1703,11.567800,93.232886,-2.137500,,50906,3529.000950
Lane Cove,2020-05-01,100.000000,35,1450,110,244,9.016400,92.032710,,,5385,3743.749196
Lane Cove,2020-06-01,100.000000,34,1449,110,240,9.166700,92.033019,-0.964600,,5613,3853.571429
Lane Cove,2020-07-01,100.000000,34,1450,111,205,10.731700,91.905028,-11.039000,,4710,3433.507299
Lane Cove,2020-08-01,100.000000,32,1450,104.5,201,10.447800,92.130682,-0.365000,,4637,3468.802198
Lane Cove,2020-09-01,100.000000,25,1450,100,227,9.691600,92.173160,23.809500,,6492,3911.659763
Lane Cove,2020-10-01,100.000000,25,1100,103.5,224,8.928600,92.383085,-11.242600,,5874,3806.180000
Lane Cove,2020-11-01,100.000000,25,1100,107.5,224,9.821400,92.020619,-2.333300,,5425,3839.624573
Lane Cove,2020-12-01,100.000000,25,1987,110,219,9.589000,91.755319,-1.365200,,5849,4458.311419
Lane Cove,2021-01-01,100.000000,25,1947,109.5,216,8.796300,91.545455,-0.692000,,5743,4275.278746
Lane Cove,2021-02-01,100.000000,25,1954,107.5,215,8.837200,91.630435,-1.742200,,5256,4242.276596
Lane Cove,2021-03-01,100.000000,25,1930,107,214,8.878500,91.108108,-0.354600,,5386,4416.117438
Lane Cove,2021-04-01,99.632400,25,1969,108.5,200,8.500000,91.356757,-3.558700,,5552,4730.549815
Liverpool,2020-05-01,100.000000,15,586,99,113,15.929200,91.226415,,,2243,1766.337662
Liverpool,2020-06-01,100.000000,14,550,90,112,15.178600,91.844660,-3.896100,,2263,1660.222973
Liverpool,2020-07-01,100.000000,16,500,91,94,15.957400,91.831461,-14.864900,,1841,1460.373016
Liverpool,2020-08-01,100.000000,29,530,85,106,16.981100,92.536082,13.492100,,1764,1288.433566
Liverpool,2020-09-01,100.000000,24,522,82.5,103,16.504900,92.925532,7.692300,,2112,1375.077922
Liverpool,2020-10-01,100.000000,24,530,85,104,14.423100,92.482353,-15.584400,,2075,1659.776923
